primaryind,name,address,type,location,summer_hours,winter_hours,wheelchair_access,note,latitude,longitude,maintainer
1,Adanac Park,1025 Boundary Road,Washroom in Park,"East side, fieldhouse",Dawn to Dusk,Dawn to Dusk,No,,49.2758809678,-123.0240719603,Parks
2,Andy Livingstone Park,89 Expo Boulevard,Washroom in Park,"South side, fieldhouse",12:00 pm - 4:00 pm,12:00 pm - 4:00 pm,No,,49.2778209665,-123.1035990223,Parks
3,Balaclava Park,4594 Balaclava Street,Washroom in Park,"Central, field house",Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.2452339944,-123.1754609494,Parks
4,Barclay Heritage Square,1433 Barclay Street,Washroom in Park,Barclay Manor (WECC),Hours of the centre,Hours of the centre,No,,49.2872148698,-123.1325605109,Parks
5,Beaconsfield Park,3215 Slocan Street,Washroom in Park,"East side, fieldhouse",Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.2552329902,-123.0499339593,Parks
6,Bobolink Park,2510 Hoylake Avenue,Washroom in Park,"North side, fieldhouse",Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.2156069867,-123.0564149550,Parks
7,Braemar Park,895 W 27th Avenue,Washroom in Park,"East edge, fieldhouse",Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.2474209947,-123.1244830217,Parks
8,Brewers Park,4175 Victoria Drive,Washroom in Park,North east corner fieldhouse,Dawn to Dusk,Closed,No,Caretaker on site,49.2478549907,-123.0654259491,Parks
9,Burrard View Park,650 North Penticton Street,Washroom in Park,Fieldhouse,Dawn to Dusk,Dawn to Dusk,No,,49.2903639622,-123.0496489708,Parks
10,CRAB Park at Portside,101 E Waterfront Road,Washroom in Park,South side at fieldhouse,7:00 am - Dusk,7:00 am - Dusk,No,Caretaker on site,49.2845920073,-123.1018350041,Parks
11,Carnarvon Park,2995 W 19th Avenue,Washroom in Park,"West side, field house",Dawn to Dusk,Dawn to Dusk,No,,49.2567420169,-123.1726090104,Parks
12,Chaldecott Park,4175 Wallace Street,Washroom in Park,East side fieldhouse,Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.2494269601,-123.1911249621,Parks
13,Clinton Park,2690 Grant Street,Washroom in Park,"North east corner, fieldhouse",Dawn to Dusk,Dawn to Dusk,No,,49.2711450329,-123.0497820279,Parks
14,Collingwood Park,5275 McKinnon Street,Washroom in Park,"South corner, fieldhouse",Dawn to Dusk,Dawn to Dusk,No,,49.2365299637,-123.0367159607,Parks
15,Columbia Park,5908 Alberta Street,Washroom in Park,,Dawn to Dusk Weekends only,Dawn to Dusk Weekends only,No,,49.2315229979,-123.1129089740,Parks
16,David Lam Park,1300 Pacific Boulevard,Washroom in Park,West side,10:00 am - Dusk,10:00 am - Dusk,No,,49.2723830073,-123.1254150352,Parks
17,Elm Park,5800 Elm Street,Washroom in Park,"Central, field house",Dawn to Dusk,Dawn to Dusk,No,,49.2334319792,-123.1632839446,Parks
18,English Bay Beach Park,1700 Beach Avenue,Washroom in Park,Bathhouse,7:00 am - Dusk,10:00 am - Dusk,No,,49.2861540400,-123.1428049671,Parks
19,Falaise Park,3434 Falaise Avenue,Washroom in Park,Community Hall,Dawn to Dusk,Dawn to Dusk,No,Women's is closed Mon - Fri during school days,49.2551230347,-123.0294059867,Parks
20,Fraser River Park,8705 Angus Drive,Washroom in Park,West corner,Dawn to Dusk,Closed,No,Open April 1 to October 31,49.2073949986,-123.1498560045,Parks
21,Fraserview Golf Course,7800 Vivian Drive,Washroom in Park,Kerr Road @13th hole,Dawn to Dusk,Dawn to Dusk,No,,49.2112953518,-123.0422996676,Parks
22,Garden Park,1851 Garden Drive,Washroom in Park,"North east corner, fieldhouse",Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.2682859984,-123.0583339940,Parks
23,Gordon Park,6675 Commercial Street,Washroom in Park,East side,Dawn to Dusk,Dawn to Dusk,No,,49.2238700451,-123.0694999785,Parks
24,Grandview Park,1657 Charles Street,Washroom in Park,South side,Dawn to Dusk,Dawn to Dusk,No,,49.2737616313,-123.0699544464,Parks
25,Granville Park,3001 Fir Street,Washroom in Park,"Central, field house",Dawn to Dusk,Dawn to Dusk,No,,49.2584930115,-123.1419699499,Parks
26,Grays Park,4850 St. Catherines Street,Washroom in Park,Centre west by parking lot,During playground program hours,Closed,No,Open April 1 to October 31,49.2407870046,-123.0848870327,Parks
27,Hadden Park,1905 Ogden Avenue,Washroom in Park,"West, caretaker house (actually in Kits)",Dawn to Dusk,Dawn to Dusk,No,,49.2774609931,-123.1503099821,Parks
28,Harbour Green Park,1199 W Cordova Street,Washroom in Park,Central,8:00 am - Dusk,10:00 am - Dusk,No,,49.2898040141,-123.1214669986,Parks
29,Hastings Community Park,3000 E Pender Street,Washroom in Park,"Central, field house",Dawn to Dusk,Closed,No,,49.2806479708,-123.0378739491,Parks
30,Jericho Beach Park,3941 Point Grey Road,Washroom in Park,Service Yard - public exterior attached to service building,Dawn to Dusk,Dawn - 11:00 pm,No,,49.2744279890,-123.2028059987,Parks
31,Jericho Beach Park,3941 Point Grey Road,Washroom in Park,Concession/fieldhouse,Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.2715800213,-123.1916589596,Parks
32,John Hendry (Trout Lake) Park,3300 Victoria Drive,Washroom in Park,At Trout Lake,6:00 am - 8:30 pm,6:00 am - 8:30 pm,No,Caretaker on site,49.2539260389,-123.0613879889,Parks
33,Jonathan Rogers Park,110 W 7th Avenue,Washroom in Park,"North side, fieldhouse",Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.2644980299,-123.1076200161,Parks
34,Jones Park,5350 Commercial Street,Washroom in Park,"North west corner, fieldhouse",Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.2362049590,-123.0683280271,Parks
35,Kitsilano Beach Park,1499 Arbutus Street,Washroom in Park,Kitsilano Showboat concession,Dawn to Dusk,Closed,No,Caretaker on site,49.2730140340,-123.1575429676,Parks
36,Kitsilano Beach Park,1499 Arbutus Street,Washroom in Park,Lifeguard station,Dawn to Dusk,Dawn to Dusk,No,,49.2744719936,-123.1537029747,Parks
37,Locarno Park,4445 NW Marine Drive,Washroom in Park,Concession at fieldhouse,Dawn to Dusk,Dawn to Dusk,No,Caretaker on site,49.2750659923,-123.2065550131,Parks
